parameter,component,value,unit,source_type,confidence_level,sensitivity_level,reference,notes
P10_MTTF,trsv,30,years,oreda_analogue,low,high impact,SPE-232388-MS Table 1 P10=30yr (TRSV; CO2 injection analogue); OREDA Handbook (HC service) — ISO 10432 / API 14A; Hardiman et al. 2023 Note C (Peloton WellMaster; 3549 svc-yr; UK/Norway injectors post-1996; no-restore filter): SCSSV AFR=0.009/yr → MTTF≈111yr,OREDA failure rates cover hydrocarbon service TRSVs; CO2 supercritical conditions degrade standard Nitrile/HNBR O-rings — Aflas or PEEK seal required for CO2 service; aligned to SPE-232388-MS P10=30yr (down from 40yr); WellMaster MTTF≈111yr sits above this P10 — SPE value is more conservative and appropriate for CO2 elastomer degradation risk
P90_MTTF,trsv,65,years,expert_judgement,low,medium impact,SPE-232388-MS Table 1 P90=65yr (TRSV); Hardiman et al. 2023 Note C — WellMaster SCSSV MTTF≈111yr (3549 svc-yr) is above this P90 — SPE value adopted as more conservative for CO2 service,Aligned to SPE-232388-MS P90=65yr (down from 90yr); extended life assumes CO2-compatible seal upgrades; WellMaster MTTF=111yr exceeds P90=65yr — difference attributable to CO2 elastomer degradation not captured in HC-service AFR; CO2 thermal cycling from injection temperature vs reservoir temperature adds fatigue not present in HC service
P10_MTTF,tubing,35,years,literature,low,high impact,NORSOK D-010 well integrity standard (design requirement — not a failure rate database); CO2 corrosion studies (Nygaard 2010; Mulders 2006 K-12B); Hardiman et al. 2023 Note C — Peloton WellMaster tubing AFR=0.004/yr per 1000m (7993 svc-yr; UK/Norway post-1996) → for 2000m string: MTTF≈125yr,NORSOK D-010 sets integrity design requirements — it does not publish MTTF statistics; P10=35yr assumes dry supercritical CO2 with CRA or inhibited carbon steel tubulars; field calibration (FIELD_C) shows 2x actual failure rate vs this assumption; wet CO2 contact with connate brine reduces effective P10 to ~15-20yr; confidence downgraded from medium to low based on field evidence
P90_MTTF,tubing,55,years,literature,low,high impact,NORSOK D-010 / CO2 corrosion studies — design standard not reliability database; Hardiman et al. 2023 Note C — WellMaster 2000m string MTTF≈125yr (more optimistic than our P90=55yr — WellMaster does not isolate CO2 corrosion contribution),P90=55yr represents optimistic scenario with fully inhibited corrosion and CO2-grade materials throughout; IEAGHG 2018-08 planned service life data (20-25yr) suggests P90 upper tail is plausible only with best-practice installation; confidence downgraded from medium to low; field calibration from observed operations should replace this value as data accumulates
P10_MTTF,packer,22,years,literature,low,high impact,SPE-232388-MS Table 1 P10=22yr (packer; CO2 injection analogue); Hardiman et al. 2023 Note C (Peloton WellMaster; 15263 svc-yr injection packers post-1996 UK/Norway): AFR=0.002/yr → MTTF≈500yr — see discrepancy note,Aligned to SPE-232388-MS P10=22yr (down from 25yr); supercritical CO2 degrades standard Nitrile and HNBR elastomer seals (bowing / extrusion / swell); CO2 EOR and acid gas injection experience shows packer failures within 5-15yr for standard elastomers; DISCREPANCY: WellMaster MTTF≈500yr is 20x more optimistic — explained by HC-service database not capturing CO2 elastomer degradation; SPE-232388-MS draws on acid gas / CO2 EOR operational failures and is the more appropriate source for CO2 service risk
P90_MTTF,packer,38,years,expert_judgement,low,high impact,SPE-232388-MS Table 1 P90=38yr (packer); Hardiman et al. 2023 Note C — WellMaster injection packer MTTF≈500yr (HC-service; CO2 elastomer degradation not modelled); acid gas injection (H2S/CO2) analogues,Aligned to SPE-232388-MS P90=38yr (down from 50yr); upper tail assumes Aflas or CO2-spec elastomers and high-quality primary set; WellMaster MTTF≈500yr reflects best-case modern HC-service packer — CO2 elastomer penalty not modelled; SPE P90=38yr adopted as it incorporates CO2 EOR operational failure experience
P10_MTTF,gauge,15,years,OREDA,high,low impact,OREDA Handbook Vol. 1 — Subsea equipment,Electronic component reliability well characterised
P90_MTTF,gauge,26,years,OREDA,high,low impact,OREDA Handbook Vol. 1 — Subsea equipment,Includes planned replacement intervals
P10_MTTF,fiber_optics,12,years,expert_judgement,low,low impact,Limited field data for CCS DTS/DAS applications,Connector degradation in CO2 poorly characterised
P90_MTTF,fiber_optics,26,years,expert_judgement,low,low impact,Analogue from geothermal DTS deployments,Few CCS-specific analogues available
P10_MTTF,wellhead,45,years,literature,low,low impact,API 6A / ISO 10423 — qualification and design life standard (not a failure rate database); Hardiman et al. 2023 Note C — Peloton WellMaster subsea wellhead: 0 failures in 5372 svc-yr (no filter) — empirically confirms very low failure rate,API 6A specifies design and test requirements — it does not publish operational MTTF statistics; P10=45yr derived from industry design life assumptions not field failure rate data; CO2 service requires CO2-rated metal-to-metal seals (PEEK/Aflas); annular wellhead seal degradation in CO2 environment poorly characterised
