component,display_name,category,barrier_class,P10_MTTF,P90_MTTF,consequence_level,intervention_type,can_defer,safety_critical,default_cost,default_duration_days,injector_only,trsv_only,detection_prob,penetration_rate,lifecycle_shape,display_group
trsv,TRSV / SCSSV,downhole_safety,safety,30,65,5,rigless_intervention,false,true,200000,2,false,true,0.70,1.0,bathtub,
tubing,Tubing String,tubulars,production,35,55,4,full_workover,true,false,2500000,14,false,false,0.40,1.0,bathtub,
packer,Injection Packer,tubulars,production,22,38,4,full_workover,true,false,2500000,10,false,false,0.35,1.0,bathtub,
gauge,P/T Gauge,monitoring,monitoring,15,26,2,rigless_intervention,true,false,150000,1,false,false,0.90,1.0,bathtub,
fiber_optics,Fiber Optics,monitoring,monitoring,12,26,2,full_workover,true,false,2500000,14,false,false,0.85,1.0,bathtub,
wellhead,Wellhead,surface,production,45,75,4,light_intervention,true,false,500000,3,false,false,0.60,1.0,bathtub,
tree,Tree,surface,production,40,70,4,light_intervention,true,false,500000,3,false,false,0.55,1.0,bathtub,
cement_barrier,Cement Barrier,barriers,safety,50,70,5,full_workover,false,true,2500000,21,false,false,0.25,1.0,bathtub,
casing,Casing,barriers,safety,60,150,5,full_workover,false,true,2500000,20,false,false,0.30,1.0,bathtub,
hydrate_control,Injectivity · Hydrate Control,completion,flow_assurance,2,8,3,rigless_intervention,true,false,80000,1,true,false,0.75,1.0,infant,Injectivity / Flow Assurance
halite_plugging,Injectivity · Halite Plugging,completion,flow_assurance,5,15,3,rigless_intervention,true,false,120000,2,true,false,0.65,1.0,plateau,Injectivity / Flow Assurance
carbonate_scaling,Injectivity · Carbonate Scaling,completion,flow_assurance,10,25,3,rigless_intervention,true,false,250000,3,true,false,0.55,1.0,wear_out,Injectivity / Flow Assurance
microbial_plugging,Injectivity · Microbial Plugging,completion,flow_assurance,15,35,3,rigless_intervention,true,false,180000,2,true,false,0.40,1.0,wear_out,Injectivity / Flow Assurance
ssv,Surface Safety Valve,surface,safety,15,40,4,rigless_intervention,false,true,200000,2,false,false,0.80,1.0,bathtub,
casing_valve,Casing Isolation Valve,downhole_safety,safety,20,55,4,light_intervention,false,true,500000,4,false,false,0.55,1.0,bathtub,
control_line,Hydraulic Control Line,downhole_safety,safety,10,25,4,full_workover,false,true,2500000,14,false,true,0.85,1.0,bathtub,
tubing_hanger,Tubing Hanger Seal,surface,safety,30,70,4,full_workover,false,true,2500000,14,false,false,0.50,1.0,bathtub,
injection_flowmeter,CO2 Injection Flow Meter,monitoring,monitoring,8,22,3,rigless_intervention,true,false,300000,3,true,false,0.70,1.0,bathtub,
annular_pressure_monitor,Annular Pressure Monitor,monitoring,monitoring,10,25,3,rigless_intervention,true,false,50000,1,false,false,0.85,1.0,bathtub,
